OBJECTID,FID_covert,Nom_Clase,ID_Clase,Area,COV,COV_ID,FID_Polygo,Name,FolderPath,Shape_Leng,Shape_Area,aream2,lon,lat,cover,Z
"130","40164",Estructura Coralina,"5",2224.00000014000,"40164","40165","1",RF N,PUMA.kmz,0.00278855675,0.00000019303,2225.78000000000,-86.95500000000,20.74200000000,life cover,-4.03015336409
"131","40165",Estructura Coralina,"5",511.99999994700,"40165","40166","1",RF N,PUMA.kmz,0.00104847824,0.00000004444,512.41000000000,-86.95800000000,20.74200000000,life cover,-5.20341021284
"132","40166",Estructura Coralina,"5",1007.99999995000,"40166","40167","1",RF N,PUMA.kmz,0.00156360993,0.00000008749,1008.80700000000,-86.95800000000,20.74200000000,life cover,-5.05571383870
"133","40167",Estructura Coralina,"5",304.00000000400,"40167","40168","1",RF N,PUMA.kmz,0.00082706425,0.00000002639,304.24400000000,-86.95500000000,20.74300000000,life cover,-7.32894731173
"134","40168",Estructura Coralina,"5",3584.00000015000,"40168","40169","1",RF N,PUMA.kmz,0.00544559576,0.00000031107,3586.86400000000,-86.95400000000,20.74200000000,life cover,-3.32339187682
"135","40169",Estructura Coralina,"5",1216.00000011000,"40169","40170","1",RF N,PUMA.kmz,0.00195239406,0.00000010554,1216.97500000000,-86.95600000000,20.74300000000,life cover,-5.36473685497
"136","40171",Estructura Coralina,"5",735.99999995400,"40171","40172","1",RF N,PUMA.kmz,0.00127482711,0.00000004984,574.73300000000,-86.95700000000,20.74300000000,life cover,-4.79456062820
"137","40172",Estructura Coralina,"5",16848.00000010000,"40172","40173","1",RF N,PUMA.kmz,0.01415395464,0.00000146132,16849.83100000000,-86.95500000000,20.74300000000,life cover,-5.09999990463
"217","51116",Tocones y Pedacería de Coral,"6",352.00000005600,"51116","51117","1",RF N,PUMA.kmz,0.00089934816,0.00000003055,352.28200000000,-86.95800000000,20.74200000000,bare substrate,-5.19999980927
"218","51117",Tocones y Pedacería de Coral,"6",223.99999998800,"51117","51118","1",RF N,PUMA.kmz,0.00082250289,0.00000001944,224.18000000000,-86.95700000000,20.74200000000,bare substrate,-4.81208177651
"219","51118",Tocones y Pedacería de Coral,"6",127.99999995800,"51118","51119","1",RF N,PUMA.kmz,0.00045195251,0.00000001111,128.10200000000,-86.95700000000,20.74200000000,bare substrate,-4.43600025016
"220","51120",Tocones y Pedacería de Coral,"6",144.00000000300,"51120","51121","1",RF N,PUMA.kmz,0.00051512629,0.00000001250,144.11500000000,-86.95800000000,20.74200000000,bare substrate,-5.09999990463
"221","51121",Tocones y Pedacería de Coral,"6",95.99999997640,"51121","51122","1",RF N,PUMA.kmz,0.00052423912,0.00000000833,96.07600000000,-86.95700000000,20.74200000000,bare substrate,-5.09999990463
"222","51122",Tocones y Pedacería de Coral,"6",128.00000001400,"51122","51123","1",RF N,PUMA.kmz,0.00060108439,0.00000001111,128.10200000000,-86.95800000000,20.74200000000,bare substrate,-5.13737555893
"223","51123",Tocones y Pedacería de Coral,"6",191.99999998500,"51123","51124","1",RF N,PUMA.kmz,0.00089934816,0.00000001666,192.15300000000,-86.95800000000,20.74200000000,bare substrate,-5.15333198886
"225","51126",Tocones y Pedacería de Coral,"6",123.19999999000,"51126","51127","1",RF N,PUMA.kmz,0.00049662994,0.00000001069,123.29800000000,-86.95500000000,20.74300000000,bare substrate,-7.34155851413
"226","51127",Tocones y Pedacería de Coral,"6",3055.99999991000,"51127","51128","1",RF N,PUMA.kmz,0.00550876773,0.00000026525,3058.44400000000,-86.95500000000,20.74200000000,bare substrate,-5.69999980927
"227","51128",Tocones y Pedacería de Coral,"6",96.00000002000,"51128","51129","1",RF N,PUMA.kmz,0.00038478219,0.00000000604,69.69800000000,-86.95500000000,20.74300000000,bare substrate,-6.08602802305
"228","51129",Tocones y Pedacería de Coral,"6",223.99999997100,"51129","51130","1",RF N,PUMA.kmz,0.00074996322,0.00000001643,189.41600000000,-86.95800000000,20.74300000000,bare substrate,-5.36376571495
"229","51130",Tocones y Pedacería de Coral,"6",1088.00000001000,"51130","51131","1",RF N,PUMA.kmz,0.00190959186,0.00000007388,851.83000000000,-86.95400000000,20.74300000000,bare substrate,-5.31023002499
"229","51130",Tocones y Pedacería de Coral,"6",1088.00000001000,"51130","51131","1",RF N,PUMA.kmz,0.00190959186,0.00000007388,851.83000000000,-86.95500000000,20.74200000000,bare substrate,-5.84734128469
"229","51130",Tocones y Pedacería de Coral,"6",1088.00000001000,"51130","51131","1",RF N,PUMA.kmz,0.00190959186,0.00000007388,851.83000000000,-86.95500000000,20.74200000000,bare substrate,-6.00000000000
"230","51132",Tocones y Pedacería de Coral,"6",224.00000000800,"51132","51133","1",RF N,PUMA.kmz,0.00060002326,0.00000001645,189.70100000000,-86.95300000000,20.74300000000,bare substrate,-5.46143498565
"231","51133",Tocones y Pedacería de Coral,"6",144.00000000600,"51133","51134","1",RF N,PUMA.kmz,0.00066881684,0.00000001250,144.11600000000,-86.95500000000,20.74300000000,bare substrate,-6.25251572410
"232","51134",Tocones y Pedacería de Coral,"6",63.99999996040,"51134","51135","1",RF N,PUMA.kmz,0.00027735755,0.00000000476,54.82900000000,-86.95300000000,20.74300000000,bare substrate,-5.40000009537
"233","51135",Tocones y Pedacería de Coral,"6",144.00000000000,"51135","51136","1",RF N,PUMA.kmz,0.00060108799,0.00000001250,144.11400000000,-86.95400000000,20.74300000000,bare substrate,-4.98353248695
"234","51136",Tocones y Pedacería de Coral,"6",256.00000001700,"51136","51137","1",RF N,PUMA.kmz,0.00081339006,0.00000002222,256.20400000000,-86.95500000000,20.74300000000,bare substrate,-6.00000000000
"235","51137",Tocones y Pedacería de Coral,"6",128.00000001700,"51137","51138","1",RF N,PUMA.kmz,0.00059653023,0.00000001111,128.10200000000,-86.95300000000,20.74300000000,bare substrate,-5.15749974819
