ID,zone,length,poligon
1041,SB,337.17,C
1042,SB,318.14,C
1043,SB,318.92,S
1044,SB,319.55,S
1045,SB,320.01,S
1046,SB,320.13,S
1047,SB,321.09,S
1048,SB,321.09,S
1049,SB,323.52,S
1050,SB,323.29,S
1051,SB,323.4,S
1052,SB,328.63,S
1053,SB,337.21,S
1054,SB,346.58,S
1055,SB,362.58,S
1056,SB,376.31,S
1057,SB,381.28,S
1058,SB,377.94,S
1059,SB,371.7,S
1060,SB,378.88,S
1061,SB,371.1,S
1062,SB,359.94,S
1063,SB,353.72,S
1064,SB,354.78,S
1065,SB,352,S
1066,SB,337.14,S
1067,SB,342.13,S
1068,SB,341.3,S
1069,SB,332.12,S
1070,SB,321.58,S
